City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Fortuna,40.5982,-124.1573,57.97,96,90,0.0,US,2021-07-25 17:38:35
1,Natchitoches,31.7668,-93.1335,93.2,62,1,0.0,US,2021-07-25 17:38:36
2,Port Elizabeth,-33.918,25.5701,55.69,82,0,1.14,ZA,2021-07-25 17:36:41
3,Qaanaaq,77.484,-69.3632,40.23,70,88,5.48,GL,2021-07-25 17:38:36
4,Deputatskiy,69.3,139.9,43.09,81,9,3.04,RU,2021-07-25 17:38:37
5,Saint-Philippe,-21.3585,55.7679,69.35,77,37,11.39,RE,2021-07-25 17:38:37
6,Twentynine Palms,34.1356,-116.0542,92.14,35,81,4.0,US,2021-07-25 17:38:37
7,Bilibino,68.0546,166.4372,44.28,75,12,4.94,RU,2021-07-25 17:37:37
8,Gazli,40.1333,63.45,99.63,12,0,15.59,UZ,2021-07-25 17:38:38
9,Ushuaia,-54.8,-68.3,35.26,93,90,26.46,AR,2021-07-25 17:36:38
10,Bemidji,47.4736,-94.8803,87.15,27,1,18.41,US,2021-07-25 17:36:28
11,Zhob,31.3411,69.4481,89.26,37,1,6.4,PK,2021-07-25 17:38:38
12,Albany,42.6001,-73.9662,82.15,74,94,6.62,US,2021-07-25 17:38:27
13,Dikson,73.5069,80.5464,38.34,89,54,13.18,RU,2021-07-25 17:38:39
14,Norvenich,50.8,6.65,75.38,63,40,5.75,DE,2021-07-25 17:38:39
15,Kincardine,56.0667,-3.7167,76.39,67,5,5.88,GB,2021-07-25 17:38:40
16,Catalao,-18.1658,-47.9464,79.72,24,0,7.67,BR,2021-07-25 17:36:37
17,Rikitea,-23.1203,-134.9692,70.34,65,97,3.91,PF,2021-07-25 17:38:40
18,Port Blair,11.6667,92.75,82.22,86,100,17.25,IN,2021-07-25 17:38:41
19,Ponta Do Sol,32.6667,-17.1,79.72,74,6,5.08,PT,2021-07-25 17:38:25
20,Vila,42.0304,-8.1588,69.75,72,42,7.45,PT,2021-07-25 17:38:41
21,Walvis Bay,-22.9575,14.5053,83.35,10,5,10.36,NA,2021-07-25 17:38:42
22,Port Macquarie,-31.4333,152.9167,53.56,59,0,8.34,AU,2021-07-25 17:36:25
23,Ixtapa,20.7,-105.2,89.22,62,1,3.44,MX,2021-07-25 17:38:42
24,Matara,5.9485,80.5353,77.68,88,68,10.4,LK,2021-07-25 17:38:42
25,Carnarvon,-24.8667,113.6333,55.47,72,0,5.75,AU,2021-07-25 17:38:43
26,Narsaq,60.9167,-46.05,57.42,48,100,4.34,GL,2021-07-25 17:38:43
27,Saskylakh,71.9167,114.0833,52.66,82,40,7.96,RU,2021-07-25 17:38:43
28,Hermanus,-34.4187,19.2345,51.8,55,100,7.9,ZA,2021-07-25 17:34:31
29,Husavik,66.0449,-17.3389,55.31,67,100,4.14,IS,2021-07-25 17:38:44
30,Vaini,-21.2,-175.2,68.16,94,55,0.0,TO,2021-07-25 17:38:17
31,Jamestown,42.097,-79.2353,83.08,62,75,7.0,US,2021-07-25 17:38:44
32,Wawa,9.9022,4.4192,79.21,73,90,6.42,NG,2021-07-25 17:38:44
33,Mehamn,71.0357,27.8492,46.58,81,75,16.11,NO,2021-07-25 17:38:45
34,Tiksi,71.6872,128.8694,48.0,81,83,7.23,RU,2021-07-25 17:38:45
35,Egvekinot,66.3167,-179.1667,44.28,91,100,1.66,RU,2021-07-25 17:38:46
36,Khatanga,71.9667,102.5,50.34,83,54,7.25,RU,2021-07-25 17:38:46
37,Constitucion,-35.3333,-72.4167,53.44,88,50,10.25,CL,2021-07-25 17:38:46
38,Tuktoyaktuk,69.4541,-133.0374,53.6,100,90,19.57,CA,2021-07-25 17:38:47
39,Hasaki,35.7333,140.8333,75.6,79,0,14.23,JP,2021-07-25 17:38:47
40,Saint-Pierre,-21.3393,55.4781,69.44,77,20,9.22,RE,2021-07-25 17:36:47
41,Yellowknife,62.456,-114.3525,59.56,51,20,4.61,CA,2021-07-25 17:38:47
42,Trincomalee,8.5711,81.2335,81.77,76,92,24.63,LK,2021-07-25 17:38:48
43,Bredasdorp,-34.5322,20.0403,51.28,87,100,5.75,ZA,2021-07-25 17:38:41
44,Talnakh,69.4865,88.3972,56.3,94,100,6.33,RU,2021-07-25 17:38:48
45,Punta Arenas,-53.15,-70.9167,41.11,70,20,16.11,CL,2021-07-25 17:38:32
46,Hobart,-42.8794,147.3294,42.66,75,40,1.01,AU,2021-07-25 17:37:15
47,Bolshaya Rechka,51.9503,104.7355,61.07,83,28,2.73,RU,2021-07-25 17:38:49
48,Vila Franca Do Campo,37.7167,-25.4333,73.81,73,46,8.32,PT,2021-07-25 17:38:49
49,Arraial Do Cabo,-22.9661,-42.0278,78.76,69,0,19.57,BR,2021-07-25 17:38:38
50,Kapaa,22.0752,-159.319,79.12,84,75,3.0,US,2021-07-25 17:38:47
51,Atambua,-9.1061,124.8925,66.6,75,32,4.43,ID,2021-07-25 17:38:50
52,Lebu,-37.6167,-73.65,51.17,89,89,4.5,CL,2021-07-25 17:38:50
53,Severnyy,50.677,36.5532,77.04,38,1,2.24,RU,2021-07-25 17:38:51
54,New Norfolk,-42.7826,147.0587,42.3,71,74,3.0,AU,2021-07-25 17:38:51
55,Port Lincoln,-34.7333,135.8667,55.24,86,41,17.36,AU,2021-07-25 17:37:50
56,Mezen,65.8522,44.24,46.65,84,100,8.79,RU,2021-07-25 17:38:51
57,Barrow,71.2906,-156.7887,42.82,91,90,11.5,US,2021-07-25 17:36:57
58,Bambous Virieux,-20.3428,57.7575,71.85,60,40,11.5,MU,2021-07-25 17:38:52
59,Lahat,-3.8,103.5333,71.37,87,0,2.89,ID,2021-07-25 17:38:52
60,Tuy Hoa,13.0833,109.3,81.63,65,35,16.55,VN,2021-07-25 17:38:53
61,East London,-33.0153,27.9116,59.94,72,0,6.91,ZA,2021-07-25 17:34:34
62,Aklavik,68.2191,-135.0107,55.4,76,75,17.27,CA,2021-07-25 17:38:53
63,Hervey Bay,-25.2986,152.8535,52.03,60,78,11.65,AU,2021-07-25 17:38:53
64,Rio Rancho,35.2334,-106.6645,84.76,46,75,1.01,US,2021-07-25 17:37:40
65,Busselton,-33.65,115.3333,58.08,66,44,19.44,AU,2021-07-25 17:38:54
66,Nantucket,41.2835,-70.0995,73.0,87,90,12.66,US,2021-07-25 17:34:40
67,Vestmannaeyjar,63.4427,-20.2734,54.59,82,75,27.63,IS,2021-07-25 17:38:55
68,Nanortalik,60.1432,-45.2371,45.28,74,100,12.97,GL,2021-07-25 17:38:55
69,Barreirinhas,-2.7469,-42.8264,90.61,42,42,4.83,BR,2021-07-25 17:38:55
70,Vila Velha,-20.3297,-40.2925,76.96,56,40,9.22,BR,2021-07-25 17:37:07
71,Ambovombe,-25.1667,46.0833,63.05,69,34,15.68,MG,2021-07-25 17:38:56
72,Les Cayes,18.2,-73.75,84.85,69,92,9.84,HT,2021-07-25 17:38:57
73,Moyo,3.6609,31.7247,65.32,89,99,3.62,UG,2021-07-25 17:38:57
74,Puerto Ayora,-0.7393,-90.3518,78.76,86,38,5.99,EC,2021-07-25 17:38:57
75,Xinzhou,38.4092,112.7333,74.12,74,97,0.67,CN,2021-07-25 17:38:58
76,De Aar,-30.6497,24.0123,44.67,27,15,5.53,ZA,2021-07-25 17:38:58
77,Gushikawa,26.3544,127.8686,80.19,89,90,8.05,JP,2021-07-25 17:38:59
78,Prince George,53.9166,-122.753,60.24,69,40,5.75,CA,2021-07-25 17:38:59
79,Geraldton,-28.7667,114.6,48.61,93,75,11.5,AU,2021-07-25 17:37:34
80,Longyearbyen,78.2186,15.6401,44.44,87,75,10.36,SJ,2021-07-25 17:36:49
81,Hidalgotitlan,17.7833,-94.6333,89.62,61,92,3.44,MX,2021-07-25 17:39:00
82,Hilo,19.7297,-155.09,76.8,90,90,3.44,US,2021-07-25 17:39:00
83,Veraval,20.9,70.3667,79.72,85,100,15.14,IN,2021-07-25 17:39:00
84,Port Alfred,-33.5906,26.891,61.03,49,27,11.43,ZA,2021-07-25 17:39:01
85,Cape Town,-33.9258,18.4232,62.28,49,0,2.3,ZA,2021-07-25 17:38:27
86,Mataura,-46.1927,168.8643,47.48,88,100,4.59,NZ,2021-07-25 17:38:13
87,Bluff,-46.6,168.3333,47.8,82,100,5.91,NZ,2021-07-25 17:39:02
88,Thompson,55.7435,-97.8558,57.36,54,75,11.5,CA,2021-07-25 17:39:02
89,Buta,2.7858,24.73,73.6,80,86,2.44,CD,2021-07-25 17:39:03
90,Hamilton,39.1834,-84.5333,91.0,68,40,1.01,US,2021-07-25 17:36:52
91,Esperance,-33.8667,121.9,53.44,83,4,17.49,AU,2021-07-25 17:37:30
92,Klaksvik,62.2266,-6.589,52.72,96,100,12.55,FO,2021-07-25 17:38:15
93,Boca Do Acre,-8.7522,-67.3978,98.96,28,9,3.53,BR,2021-07-25 17:39:03
94,Udesti,47.5667,26.4167,75.04,62,56,5.88,RO,2021-07-25 17:39:05
95,Hithadhoo,-0.6,73.0833,80.87,74,85,3.24,MV,2021-07-25 17:39:05
96,Mount Gambier,-37.8333,140.7667,51.71,93,90,16.11,AU,2021-07-25 17:37:39
97,Torbay,47.6666,-52.7314,61.29,91,90,9.22,CA,2021-07-25 17:39:06
98,Avarua,-21.2078,-159.775,73.45,88,90,8.05,CK,2021-07-25 17:36:32
99,Chokurdakh,70.6333,147.9167,35.15,80,2,10.04,RU,2021-07-25 17:39:06
100,Kahului,20.8947,-156.47,79.84,88,40,18.41,US,2021-07-25 17:39:07
101,Merauke,-8.4667,140.3333,76.44,82,99,10.47,ID,2021-07-25 17:39:07
102,Guerrero Negro,27.9769,-114.0611,76.05,61,60,9.53,MX,2021-07-25 17:39:07
103,Ostrovnoy,68.0531,39.5131,46.45,85,95,17.69,RU,2021-07-25 17:39:08
104,Severo-Kurilsk,50.6789,156.125,53.69,97,82,3.36,RU,2021-07-25 17:39:08
105,Upernavik,72.7868,-56.1549,41.0,82,47,11.56,GL,2021-07-25 17:39:09
106,Yantal,56.8471,105.2542,61.52,68,66,2.55,RU,2021-07-25 17:39:09
107,Faanui,-16.4833,-151.75,77.77,66,2,13.11,PF,2021-07-25 17:36:59
108,Butaritari,3.0707,172.7902,81.95,76,18,10.31,KI,2021-07-25 17:36:45
109,Skjervoy,70.0311,20.9714,51.8,98,100,7.49,NO,2021-07-25 17:39:10
110,Champerico,14.3,-91.9167,93.76,72,85,6.53,GT,2021-07-25 17:38:11
111,Ongandjera,-17.8833,15.0667,66.92,28,0,8.01,NA,2021-07-25 17:39:10
112,Ust-Ilimsk,58.0006,102.6619,63.63,63,61,3.83,RU,2021-07-25 17:39:11
113,Tsabong,-26.0217,22.401,53.29,29,48,9.57,BW,2021-07-25 17:39:11
114,Isangel,-19.55,169.2667,74.84,88,77,11.86,VU,2021-07-25 17:39:12
115,Moose Factory,51.2585,-80.6094,68.0,72,75,8.05,CA,2021-07-25 17:39:14
116,Zambezi,-13.5432,23.1047,61.68,33,0,6.8,ZM,2021-07-25 17:39:14
117,Tuatapere,-46.1333,167.6833,47.82,90,100,4.7,NZ,2021-07-25 17:39:15
118,Jaciara,-15.9653,-54.9683,94.3,18,1,6.49,BR,2021-07-25 17:39:15
119,Atuona,-9.8,-139.0333,77.38,72,52,23.67,PF,2021-07-25 17:38:12
120,Castro,-24.7911,-50.0119,70.07,41,2,7.7,BR,2021-07-25 17:35:21
121,The Pas,53.8251,-101.2541,68.02,64,90,10.27,CA,2021-07-25 17:39:16
122,Balikpapan,-1.2675,116.8289,76.86,81,31,7.85,ID,2021-07-25 17:39:16
123,Neverkino,52.7854,46.7417,62.58,55,100,4.34,RU,2021-07-25 17:39:16
124,Jacobina,-11.1806,-40.5183,73.51,60,98,8.25,BR,2021-07-25 17:39:17
125,Kodiak,57.79,-152.4072,50.36,91,70,1.28,US,2021-07-25 17:39:17
126,Pisco,-13.7,-76.2167,66.02,72,75,6.91,PE,2021-07-25 17:39:17
127,Lascahobas,18.8294,-71.9364,85.64,48,91,2.21,HT,2021-07-25 17:39:18
128,Port Hedland,-20.3167,118.5667,60.85,77,15,5.75,AU,2021-07-25 17:37:49
129,Grindavik,63.8424,-22.4338,52.27,87,75,28.77,IS,2021-07-25 17:39:18
130,Los Llanos De Aridane,28.6585,-17.9182,73.13,82,20,16.11,ES,2021-07-25 17:39:19
131,Rundu,-17.9333,19.7667,60.49,39,0,7.16,NA,2021-07-25 17:38:54
132,Piranhas,-16.4269,-51.8222,89.91,19,0,7.34,BR,2021-07-25 17:37:04
133,Chicama,-7.8447,-79.1469,68.54,62,71,8.88,PE,2021-07-25 17:39:19
134,Lompoc,34.6391,-120.4579,75.69,82,90,0.0,US,2021-07-25 17:39:01
135,Georgetown,5.4112,100.3354,83.89,83,20,2.3,MY,2021-07-25 17:39:20
136,Ornskoldsvik,63.2909,18.7153,74.35,56,55,10.36,SE,2021-07-25 17:39:20
137,Bowen,-20.0167,148.2333,46.62,71,5,6.64,AU,2021-07-25 17:39:21
138,Quickborn,53.7333,9.9,78.24,74,20,6.91,DE,2021-07-25 17:39:21
139,Lagos,6.5833,3.75,84.52,75,27,6.89,NG,2021-07-25 17:37:32
140,Rameshki,57.3439,36.0453,62.15,62,96,1.74,RU,2021-07-25 17:39:22
141,Sattahip,12.6664,100.9007,84.97,74,40,3.44,TH,2021-07-25 17:39:22
142,Nikolskoye,59.7035,30.7861,71.49,64,51,2.42,RU,2021-07-25 17:37:14
143,Surab,28.4914,66.2585,85.3,29,66,2.75,PK,2021-07-25 17:39:22
144,Bongaree,-27.0797,153.1586,52.3,60,66,13.13,AU,2021-07-25 17:39:23
145,Black River,18.0264,-77.8487,87.8,64,26,7.0,JM,2021-07-25 17:39:23
146,Tagusao,9.1924,117.8141,81.7,78,100,10.0,PH,2021-07-25 17:39:24
147,Haines Junction,60.7522,-137.5108,53.55,66,97,3.44,CA,2021-07-25 17:39:24
148,Nakamura,32.9833,132.9333,74.35,95,100,4.34,JP,2021-07-25 17:39:25
149,Obukhiv,50.11,30.6227,79.2,57,44,2.8,UA,2021-07-25 17:39:25
150,Waingapu,-9.6567,120.2641,71.62,74,70,5.03,ID,2021-07-25 17:39:25
151,Tasiilaq,65.6145,-37.6368,46.56,87,66,5.1,GL,2021-07-25 17:39:25
152,Yar-Sale,66.8333,70.8333,49.73,77,56,19.24,RU,2021-07-25 17:39:26
153,Cayenne,4.9333,-52.3333,84.09,79,40,1.99,GF,2021-07-25 17:36:31
154,Iqaluit,63.7506,-68.5145,46.13,93,90,4.0,CA,2021-07-25 17:38:56
155,Oksovskiy,62.6062,39.8984,57.97,68,99,2.93,RU,2021-07-25 17:39:26
156,San Cristobal,7.7669,-72.225,75.38,49,100,5.28,VE,2021-07-25 17:39:27
157,Mar Del Plata,-38.0023,-57.5575,57.22,59,90,7.0,AR,2021-07-25 17:39:27
158,Pachino,36.7186,15.0907,90.59,55,0,11.95,IT,2021-07-25 17:39:27
159,Ganzhou,28.8184,115.4327,77.83,81,2,2.84,CN,2021-07-25 17:34:59
160,Kumluca,36.3703,30.2869,82.38,55,4,6.49,TR,2021-07-25 17:39:28
161,Mandera,3.9366,41.867,83.44,38,98,12.84,KE,2021-07-25 17:39:28
162,Manihari,25.35,87.6333,85.91,75,100,4.54,IN,2021-07-25 17:39:28
163,Kavieng,-2.5744,150.7967,81.05,76,53,1.05,PG,2021-07-25 17:39:29
164,Anadyr,64.75,177.4833,52.3,93,90,4.0,RU,2021-07-25 17:38:14
165,Comodoro Rivadavia,-45.8667,-67.5,49.86,46,0,12.66,AR,2021-07-25 17:39:29
166,Turukhansk,65.8167,87.9833,64.4,83,33,3.02,RU,2021-07-25 17:39:29
167,Jardim,-21.4803,-56.1381,92.75,22,0,10.45,BR,2021-07-25 17:37:40
168,Coruripe,-10.1256,-36.1756,75.92,79,38,12.59,BR,2021-07-25 17:39:30
169,Japura,-0.3167,102.35,76.15,85,70,3.06,ID,2021-07-25 17:39:30
170,Korem,12.5058,39.5228,56.1,85,100,7.27,ET,2021-07-25 17:39:31
171,Rizhao,35.4275,119.4553,76.78,95,90,8.63,CN,2021-07-25 17:39:31
172,Clarence Town,-32.5833,151.7833,53.94,58,1,12.17,AU,2021-07-25 17:39:31
173,Killybegs,54.6333,-8.45,66.45,70,2,9.75,IE,2021-07-25 17:39:32
174,Tabuk,17.4189,121.4443,76.78,78,100,2.84,PH,2021-07-25 17:36:03
